학수번호,과목명,이수구분,학점,이수,이수,설강학과
CUL7124,AI리터러시,교양필수,2,1,1,ICT융합학부
CUL7125,ESG와SDGs이해,교양필수,2,1,1,ICT융합학부
VCC1001,IC-PBL과비전설계,교양필수,1,1,1,ICT융합학부
CSE1007,논리학(컴퓨터전공),전공기초,3,1,1,ICT융합학부
GEN2052,미분적분학1,전공기초,3,1,1,ICT융합학부
GEN0063,일반물리학1,전공기초,3,1,1,ICT융합학부
CSE1020,창의융합설계,전공핵심,2,1,1,ICT융합학부
CUL7133,파이썬과인공지능,교양필수,3,1,1,ICT융합학부
CSE1017,프로그래밍기초,전공기초,3,1,1,ICT융합학부
MMT1002,ICT융합을위한인공지능,전공핵심,3,1,2,ICT융합학부
ICT1001,기초확률통계,전공기초,3,1,2,ICT융합학부
MCD1001,디자인테크놀로지융합의이해,전공핵심,3,1,2,ICT융합학부
MMT2012,디지털미디어의디자인활용,전공핵심,3,1,2,ICT융합학부
CUL2100,아카데믹글쓰기,교양필수,2,1,2,ICT융합학부
CSE2010,자료구조론,전공기초,3,1,2,ICT융합학부
MMT4017,퓨쳐미디어와아트,전공핵심,3,1,2,ICT융합학부
VCC2001,IC-PBL과취창업을위한진로탐색,교양필수,1,2,1,데이터인텔리전스전공
INE3093,공학과심리,전공핵심,3,2,1,데이터인텔리전스전공
MAT2003,선형대수,전공핵심,3,2,1,데이터인텔리전스전공
CSE2021,오픈소스SW,전공핵심,3,2,1,데이터인텔리전스전공
MMT2003,융복합미디어개론,전공핵심,3,2,1,데이터인텔리전스전공
MMT4020,통계적데이터분석,전공핵심,3,2,1,데이터인텔리전스전공
CSE2022,피지컬컴퓨팅,전공핵심,3,2,1,데이터인텔리전스전공
DEE4046,학술영어,교양필수,2,2,1,데이터인텔리전스전공
CUL7122,AI+X공학융합프로젝트,교양필수,2,2,2,데이터인텔리전스전공
MMT2011,ICT창업캡스톤디자인,전공핵심,3,2,2,데이터인텔리전스전공
CSE3010,데이터베이스,전공핵심,3,2,2,데이터인텔리전스전공
MMT2006,스마트센서와액츄에이터,전공핵심,3,2,2,데이터인텔리전스전공
MMT2008,애드테크개론,전공핵심,3,2,2,데이터인텔리전스전공
MCT2009,의료인공지능,전공핵심,3,2,2,데이터인텔리전스전공
INE3042,인간공학과실습,전공핵심,3,2,2,데이터인텔리전스전공
ENE2008,컴퓨터알고리즘,전공핵심,3,2,2,데이터인텔리전스전공
MMT3019,HCI연구실심화실습1,전공심화,1,3,1,데이터인텔리전스전공
MMT3021,ICT창업캡스톤디자인2,전공핵심,3,3,1,데이터인텔리전스전공
MMT3007,기계학습,전공핵심,3,3,1,데이터인텔리전스전공
MMT3018,소셜데이터분석,전공심화,3,3,1,데이터인텔리전스전공
INE4048,인간-컴퓨터시스템설계,전공심화,3,3,1,데이터인텔리전스전공
I-D3100,창의캡스톤디자인1,전공심화,3,3,1,데이터인텔리전스전공
MMT4019,컴퓨터구조와시스템프로그래밍,전공심화,3,3,1,데이터인텔리전스전공
MMT3020,HCI연구실심화실습2,전공심화,1,3,2,데이터인텔리전스전공
VCC3003,IC-PBL과역량계발,교양필수,1,3,2,데이터인텔리전스전공
MMT3010,데이터시각화,전공심화,3,3,2,데이터인텔리전스전공
MMT4018,데이터통신과컴퓨터네트워크,전공심화,3,3,2,데이터인텔리전스전공
MCT3011,사용자경험및사용성,전공심화,3,3,2,데이터인텔리전스전공
MCT3012,실용머신러닝,전공심화,3,3,2,데이터인텔리전스전공
MMT3015,웹로그분석과비즈니스,전공심화,3,3,2,데이터인텔리전스전공
CSE3026,웹애플리케이션개발,전공심화,3,3,2,데이터인텔리전스전공
MCT3010,의공학및뇌공학의이해,전공심화,3,3,2,데이터인텔리전스전공
I-D3101,창의캡스톤디자인2,전공심화,3,3,2,데이터인텔리전스전공
MMT4014,HCI연구실심화실습3,전공심화,1,4,1,데이터인텔리전스전공
MMT4009,ICT융합캡스톤디자인1,전공심화,3,4,1,데이터인텔리전스전공
