교과목 이름,학년,이수구분,설강학과,선수강 과목,연결과목,교과목개요
10만원창업프로젝트,,교양선택,ERICA 대학,,,"창업가는 창업 활동의 주체로서 준비부터 창업까지 전 과정에서 주도적인 역할을 하게 됩니다. 시장 정보와 산업 현장경험이 부족한 대학생 등 젊은 창업 지망자들에게는 자신 주변에서 경험하는 아이디어를 중심으로 비즈니스 모델을
찾고 철저한 사업계획을 통해 창업을 준비하는 것이 바람직한 방법 중 하나입니다. 10만원창업프로젝트는 창업에 관심을 갖고 있는 일반 학생들이 자신의 경험과 지식을 바탕으로 자기 주변에서 아이디어를 발굴하고, 아이디어를 창업
아이템으로 발전시키고 사업화하는 과정을 프로젝트 실행을 통해 학습하는 교과목입니다.
주변 사람들의 문제나 불편함을 해결하는 솔루션에 대한 아이디어를 고안하고 아이디어를 바탕으로 솔루션을 실현함으로써 수익을 창출하는 프로젝트를 진행합니다. 학습 목표에 적합하도록 식음료 및 기성품 등을 판매하는 프로젝트
아이템은 제외합니다. 프로젝트는 자신과 팀 구성원의 능력으로 한학기 동안 만들어 낼 수 있는 수준과 범위에 적절한 아이템을 선정하고 제한된 예산과 기간에 진행할 수 있어야 합니다. 팀 구성 인원은 5명이하로 구성할 수 있어 혼자서
진행하는 것도 가능합니다. 제한된 조건에서 아이디어를 통해 수익을 실현하는 프로젝트를 실행함으로써 빠르게 변화 하는 고객과 시장을 이해하고 시장에 적합한 솔루션을 찾아 낼 수 있는 창업 학습 능력 함양이 수업의 목표입니다.
평가는 아이디어에 연관된 문제의 정의, 솔루션 실현, 고객을 발굴하고 사업 실행 계획 수립, 실행 및 보완 단계별 과정을 통해 진행됩니다. 수강 학생의 효과적인 학습을 위하여 프로젝트 과정에 소요되는 비용은 4명팀 기준으로 10만
원 범위에서 실비로 지원되고 수업 평가 방식은 절대평가입니다."
14가지질문으로시작하는교양통신네트워크이야기,,교양선택,ERICA 대학,,,"인터넷, 센서 부품, 네트워크 장비의 발달로 인간들 간의 소통의 범위와 속도뿐만 아니라 인지 범위까지 급격히 확대되고 있다. 본 교과목에서는 현대인들의 사고와 성장, 생활 형태를 결정짓는 통신 및 통신네트워크(이하 통신/네트워크)에 대한 여러 요소들을 비전공자의 관점에서 살펴보면서 통신/네트워크의 발전이 인간 생활에 어떤 영향을 끼치며, 안전하고 행복한 사회를 구성하기 위해 통신/네트워크는 어떻게 이용되고 있으며 어떻게 발전되어야 하는 지를 함께 고민해 본다. 교과목의 전반부에서는 주로 통신/네트워크의 구조와, 동작과 설계 원리, 성능 한계에 대한 개념들을 소개하고, 후반부에서는 통신/네트워크가 필수적인 기업들의 비즈니스 모형, 안전한 사회 구축을 위한 통신/네트워크의 이용 사례, 미래 통신/네트워크에 대한 고민을 함께 살펴본다. 매주차별 강의는 통신/네트워크에 관해 가질 수 있는 보통의 열네가지 질문에서 시작하여 전자컴퓨터공학전공자들이 아니라도 직관적인 해답에 도달할 수 있도록 구성되며, 해답은 1차적이고 즉각적인 답과 보다 심도 있게 토론되는 2차적인 답이 함께 제시된다."
21세기중동과새로운이슬람문화,,교양선택,ERICA 대학,,,"우리는 오랫동안 서양 중심사상(Eurocentrism)에 기초한 “서양사=세계사” 프레임과 중국 중심의 중화관에 갇혀 다른 문화권에 대한 올바른 이해가 부족했다. 그 결과 동남아시아, 중앙아시아, 라틴 아메리카, 인도, 아프리카, 오세아니아 지역의 역사와 문화는 늘상 주변부, 변방, 비주류에 속한 덜 중요한 부분으로 교육되고 인식되어 왔다. 무엇보다 인류문명의 뿌리이고 요람이었던 중동-이슬람 문명권은 심지어 적대적 관점에서 접근하는 심각한 오류가 반복되어 왔다. 무엇보다 신라시대 이후 이슬람권과 한반도의 문화적 접촉과 역사적 교류도 밝혀지고 있어 우리의 관심을 끌고 있는 지역이다. 현재 이슬람 문화권은 인구 20억, 유엔회원국 57개국을 거느린 세계 최대 단일 문화권이고, 자원과 자본을 바탕으로 세계경제에 중요한 몫을 차지하고 있다. 거의 절대적으로 중동-이슬람권 원유에 의존하는 우리나라에게도 이 지역은 가장 중요한 경제적 파트너로 플랜트, 우주항공산업, 할랄산업, 방위산업, 그린수소, 조선, 대체에너지, 식량 안보 분야, 제약-화장품, K-culture 등에서 전방위적 협력관계를 맺고 있다. 이런 배경을 적극적으로 고려하면서 이번 학기 우리 강의에서는 다음과 같은 주제를 집중적으로 다루어보고자 한다. 
1. 이슬람 세계의 현황 파악과 균형있게 바라보기
2. 인류문명의 요람으로서 중동의 역사와 이슬람의 태동과 발전
3. 이슬람 문화와 생활방식의 이해
4. 서구와 이슬람의 갈등과 대립의 원인과 역사 
5. 중세 천년 이슬람문명이 인류사회에 끼친 영향
6. 탈서구적 이슬람 지성사, 세계관
7. 기후변화 대처와 탄소중립으로 가는 아랍의 미래 도시전략"
2D컴퓨터그래픽스,1.0,전공기초,융합디자인학부,,,"본 교과는 IC-PBL 교과목으로 현장과 함께 협업함으로써 다양한 정보를 그래픽으로 시각화하는 훈련을 하게 된다. 학생 스스로 문제를 파악하고 그 문제의 답을 해결해가는 과정을 통해 전공분야의 역량을 키워 실무현장에서 필요한 디자이너의 역할과 기업문화를 이해하며 디자이너간의 협업, 의사소통 및 결정과정을 걸쳐 창의적인 디자인 프로세스와 실무를 경험한다. 또한 여러 구성원들과의 상호교류를 통해 창의적 문제해결 능력과 협업 능력을 갖춘 인재양성의 기회를 얻을 수 있다.  [통합 개요] 디자인이미지 완성 훈련을 위하여 본 연구 과정에서는 첫 단계로, 컴퓨터의 기초 단계를 연구한다. 
즉 디자인에 필요한 그래픽디자인 툴에 대해 배워보고 작업의 기초를 익힌다. 

두 번째 단계로는 대상물을 선정하여 이미지 형성, 이미지 추출, 이미지표현을 하는 기초 디자인 작업을 통하여 이른바 모든 그래픽 작업을 컴퓨터로 자연스럽게 표현하는 데 역점을 둔다. [통합 개요] 이 수업은 스스로 콘텐츠를 생산하는 능력을 기르고 다양한 시각물을 효과적으로 구현하는 방법을 연습하며, 이론, 실기, 발표를 통해 진행됩니다.

이론은 컨텐츠 제작을 위한 기본적인 2D작품 제작의 기획과 방법에 대해 이야기합니다. 이는 이후 컨텐츠 제작과 기획에 활용할 수 있는 기본기를 쌓고 토론하고 이야기를 나누며 서로의 생각을 공유하는 것에 중점을 두고 있습니다. 그리고 이를 바탕으로 프로그램(Adobe illustrator, Adobe Photoshop)을 활용하고 작품을(바인딩 및 실제품 제작) 제작하고 최종적인 결과물을 발표함으로서 마무리합니다. 

이 수업은 위와 같은 세 가지의 과정을 통해 2D그래픽 제작 과정에 대한 즐거움을 경험하기를 기대합니다."
3DCAD디자인2,2.0,전공핵심,주얼리·패션디자인학과,3DCAD디자인1,,"현 4차산업을 이해하고, 각종 산업에 실질적으로 사용되는 디지털을 활용한  디자인의 접근을 다방면으로 진행한다. 산업은 기술의 발달로 새로운 기술력이 등장하면서 더욱 창의적인 디자인 수요가 요구되고 있으며, 이에 발맞춰 실무 능력을 높이고 맞춤형 디자인을 설계하고 생산 활용을 높일 수 있는 방안을 접목함에 따라 현 산업에서 요구되는 전문성을 준비하고자 한다."
3DCAD디자인3,2.0,전공핵심,주얼리·패션디자인학과,,,"라이노3D(Rhino 3D)와 지브러시(ZBrush) 소프트웨어를 활용한 초중급과정의 3차원 모델링을 학습한다.
패션주얼리 디자인의 필수인 3D 모델링의 전반적인 과정을 학습하며 이를 활용한 패션주얼리의 표현 및 제작과정을 연구한다.
다양한 3D모델링 작업과 실무제작 과정을 학습하여, 관련 디자이너로서의 디자인 해결능력과 경쟁력을 높인다."
3D디자인2,2.0,전공핵심,디자인공학전공,3D디자인1,,"디자이너의 머리속에 존재하는 창의적 아이디어를 구체화하여 제3자에게 효과적으로 전달하기 위한 최종적 표현 방법 중 하나로써 3D Tool을 이용한 구현 능력을 학습한다.
표현의 일반적 기법을 중심으로 사용되는 재료의 특성에 따라 각 재질감의 효과적 표현 능력을 배양하고, 실제 기업의 디자인 시스템 내에서 적용할 수 있는 스킬 능력을 기른다."
3D디지털스튜디오,3.0,전공핵심,영상디자인학과,,,"영화 VFX, 애니메이션, 게임 컨텐츠 제작 프로세스를 익히고 제작을 돕는 3D 그래픽
저작 도구들에 대해 이해하고 직접 실습을 통해 3D저작 기법을 배우게 됩니다. [통합 개요] 본 과목은 오픈소스 3D 소프트웨어인 **블렌더(Blender)**를 활용하여 3D 콘텐츠 제작의 기본기를 배우는 기초 과정입니다. 
블렌더는 무료로 제공되는 소프트웨어임에도 불구하고 강력한 기능과 유연한 워크플로를 제공하여 3D 산업 전반에서 빠르게 성장하고 있는 도구입니다.
특히, 모델링, 텍스처링, 애니메이션, 시뮬레이션, 렌더링, 합성, 편집 등 통합 워크플로를 지원하며, 게임, 애니메이션, 건축 시각화, 광고 등 다양한 분야에서 활용되고 있습니다.

본 과정을 통해 학생들은 3D 콘텐츠 제작의 기본기를 탄탄히 다지고, 자신만의 차별화된 사실적인 3D 이미지와 3D 애니메이션 제작 능력을 갖추게 됩니다. 
이를 활용해 자신의 창의적인 아이디어를 시각적으로 효과적으로 표현하는 방법을 배우며, 3D 산업과 디자인영역 전반에서 블렌더를 활용할 수 있는 역량을 제공합니다. 
"
3D컴퓨터그래픽스기초,1.0,전공기초,융합디자인학부,,,"디자인 분야에서 조형을 이해하고, 내가 구상한 형태를 만들기 위해서는 평면을 입체화 하는 연습이 중요합니다.
이에 본 수업에서는 형상 구현의 자유도가 높은 넙스 기반의 3D 툴인 라이노 프로그램을 이용하여 3차원 모델링의 기초를 학습하고자 합니다.
3D 수업을 통해 학생들은 제품 및 형상의 단면 구조 및 원리를 이해할 수 있고, 아이데이션 과정에서 보다 실질적인 물체를 구상하는 것이 가능해 질 수 있으며,
3D 프린팅을 활용하여 본인이 만든 형상의 실물을 확인함으로써 제작에 대한 간접 경험을 추구하고자 합니다.
 [통합 개요] ● 컴퓨터그래픽 활용과정으로 창의적 3차원 오브젝트의 구현 및 공간 이미지 표현기법과 연출 능력을 습득하여 실무 디자인과정에 원활하게 적용할 수 있는 3D모델링 프로그램 활용 능력을 향상시키는 과정이다.  "
3D컴퓨터그래픽스심화,1.0,전공핵심,융합디자인학부,"3D컴퓨터그래픽스기초, 3D디자인1",,"구체화된 아이디어를 제3자에게 효과적으로 전달하기 위한 최종적 표현 방법으로서, 3D 툴을 심화적으로 습득한다. 
제품 표현의 일반적 기법을 중심으로 학습하되 사용되는 재료와 가공법의 특성 및 각 재질감의 표현 능력을 배양하고, 실제 양산형 제작을 위한 디자인 프로세스 내에서 활용할 수 있는 툴 능력을 기른다."
