threshold,precision,recall,f1,n_pred,tp,fp,fn,alpha
0.6,0.5556,0.0192,0.037,9,5,4,256,0.5
0.65,0.7143,0.0192,0.0373,7,5,2,256,0.5
0.7,0.7143,0.0192,0.0373,7,5,2,256,0.5
0.75,1.0,0.0153,0.0302,4,4,0,257,0.5
0.8,1.0,0.0077,0.0152,2,2,0,259,0.5
0.85,1.0,0.0077,0.0152,2,2,0,259,0.5
0.9,1.0,0.0077,0.0152,2,2,0,259,0.5
0.6,0.2941,0.0192,0.036,17,5,12,256,0.6
0.65,0.625,0.0192,0.0372,8,5,3,256,0.6
0.7,0.7143,0.0192,0.0373,7,5,2,256,0.6
0.75,1.0,0.0192,0.0376,5,5,0,256,0.6
0.8,1.0,0.0115,0.0227,3,3,0,258,0.6
0.85,1.0,0.0077,0.0152,2,2,0,259,0.6
0.9,1.0,0.0077,0.0152,2,2,0,259,0.6
0.6,0.2121,0.0536,0.0856,66,14,52,247,0.7
0.65,0.3043,0.0268,0.0493,23,7,16,254,0.7
0.7,0.7143,0.0192,0.0373,7,5,2,256,0.7
0.75,0.8333,0.0192,0.0375,6,5,1,256,0.7
0.8,1.0,0.0153,0.0302,4,4,0,257,0.7
0.85,1.0,0.0077,0.0152,2,2,0,259,0.7
0.9,1.0,0.0038,0.0076,1,1,0,260,0.7
0.6,0.1801,0.1801,0.1801,261,47,214,214,0.8
0.65,0.2574,0.0996,0.1436,101,26,75,235,0.8
0.7,0.3333,0.0383,0.0687,30,10,20,251,0.8
0.75,0.4545,0.0192,0.0368,11,5,6,256,0.8
0.8,1.0,0.0192,0.0376,5,5,0,256,0.8
0.85,1.0,0.0153,0.0302,4,4,0,257,0.8
0.9,1.0,0.0038,0.0076,1,1,0,260,0.8
0.6,0.1327,0.4444,0.2044,874,116,758,145,0.9
0.65,0.1647,0.2107,0.1849,334,55,279,206,0.9
0.7,0.2378,0.1303,0.1683,143,34,109,227,0.9
0.75,0.3051,0.069,0.1125,59,18,41,243,0.9
0.8,0.3571,0.0192,0.0364,14,5,9,256,0.9
0.85,1.0,0.0153,0.0302,4,4,0,257,0.9
0.9,1.0,0.0077,0.0152,2,2,0,259,0.9
0.6,0.0812,0.6322,0.144,2031,165,1866,96,1.0
0.65,0.1227,0.4866,0.196,1035,127,908,134,1.0
0.7,0.1485,0.2605,0.1892,458,68,390,193,1.0
0.75,0.22,0.1686,0.1909,200,44,156,217,1.0
0.8,0.2637,0.092,0.1364,91,24,67,237,1.0
0.85,0.2381,0.0192,0.0355,21,5,16,256,1.0
0.9,0.4286,0.0115,0.0224,7,3,4,258,1.0
