학수번호,교과목이름,학점,이수구분,학년,학기,설강학과,교과목개요,교육과정학과코드
ACC1001,회계정보의이해1,,전공기초,1,,회계세무학과,"재무회계는 주로 경제실체의 외부에 있는 정보이용자에게 기업의 재무상태와 경영성과를 재무제표를 통하여 보고하는 데 중점을 두고 있는 회계학의 한 분야이다. 재무회계의 첫 단계인 회계정보의 이해에서는 복식부기의 기초원리, 그리고 재무제표 작성 중심의 회계처리를 공부할 예정이며, 이러한 회계처리는 우리나라 기업회계기준을 중심으로 설명된다. 본 강의는 학생들을 위하여 기본적인 개념을 이해시키고, 각 계정과목별로 기업회계기준에 따른 회계처리 방법의 이해를 도모하고자 한다.",
ACC2051,중급회계1,,전공핵심,2,,회계세무학과,"본 수업에서는 기업 재무회계의 이론적 구조를 이해하고 재무회계와 관련하여 실무해결능력을 갖출 수 있도록 한국채택국제회계기준(K-IFRS)의 내용, 이론적 배경 및 구체적 응용사례를 학습한다. 구체적으로, 재무보고의 개념체계, 화폐의 시간가치 등 재무회계의 기초와 수익에 관한 내용을 학습한다.",
ACC2061,세법개론,,전공핵심,2,,회계세무학과,"세금은 우리의 일상생활과 밀접한 관계를 가지고 있고, 누구나 당면하는 생활문제이다. 따라서 전문적인 연구도 중요하지만, 일상생활에서 발생하는 공통적이고, 기본적인 문제에 대한 이해는 필수적인 것이라 할 것이다. 본 강좌는 이러한 생활 속의 세금문제를 이해하고, 대처하는 기본 소양을 향상시키려는데 그 목적이 있다.",
ACC2062,법학개론,,전공핵심,2,,회계세무학과,본 강좌는 법학입문과정으로 실생활과 관련된 최소한의 법률지식을 비법대생이 이해하기 쉽게 전달하는 것을 목적으로 한다. 또한 자신의 권리를 보호할 수 있는 다양한 방법을 소개해줌으로써 사회에서 부딪히는 법률문제를 적극적으로 해결할 수 있도록 하고자 한다.,
ACC3002,회계감사,,전공핵심,4,,회계세무학과,"본 교과목은 감사하는데 필요한 감사인의 직업윤리, 감사인의 독립성, 감사인의 책임, 감사목표와 감사절차, 감사증거의 수집과 감사조서 작성, 중요성의 기준설정과 감사위험의 이해 및 감사보고서를 이해하도록 교육한다.
AACSB과목",
ACC3004,세무회계,,전공심화,3,,경영학부,"세무회계는 법인기업의 조세문제를 다룬다. 세무회계는 복시부기의 회계이론에 따라 법인의 소득세를 산출하고 특히 대법인에서는 법인세의 납부가 중요한 관심사이므로 가급적 조세납부를 적게하기 위한 절세문제를 다룬다.
선행적으로 조세법을 이수하고 세무회계를 수강하는 것이 바람직하다. 공인회계사, 세무사 등의 자격시험에 필수과목으로 정하여져 있다.",
ACC3007,고급회계2,,전공핵심,4,,회계세무학과,"회계는 기업의 언어입니다. 우리는 회계를 기초로 작성된 재무제표를 통해 회사의 경영성과를 이해 및 분석하고, 투자 등의 의사결정을 내립니다.
또한 국제회계기준의 도입으로 연결재무제표는 회사의 주 재무제표로 통용되고 있습니다. 따라서 재무정보를 이용하는 정보이용자는 연결회계의 개념과 작성 방법의 이해가 반드시 필요합니다. 학생들이 본 수업을 통하여 연결회계의 작성 방법과 재무정보를 이해함에 도움이 되기를 바랍니다.",
ACC3010,중급회계3,,전공핵심,3,,회계세무학과,"본 수업에서는 기업 재무회계의 이론적 구조를 이해하고 재무회계와 관련하여 실무해결능력을 갖출 수 있도록 한국채택국제회계기준(K-IFRS)의 내용, 이론적 배경 및 구체적 응용사례를 학습한다. 구체적으로, 금융자산, 특수한 지분투자와 영업권, 금융부채, 충당부채 및 자본회계처리에 관한 내용을 학습한다.
이 과목은 AOL(Assurance of Learning) 보고를 위해 주요 학습목표를 측정하도록 설계된 것과 관련된다. 학생들은 각 주요 학습목표 (학습목표 1: 의사결정; 학습목표 4: 재무제표분석)에 대해 평가를 받게 되며, 그 결과는 교과목 개선과 학습지원을 위해 사용된다.",
ACC3013,원가관리회계1,,전공핵심,2,,회계세무학과,"회계는 정보이용자가 합리적인 판단과 의사결정을 할 수 있도록 정보를 확인·식별하고, 기록·축적·요약하여 전달하는 하나의 행동적 과정입니다. 이러한 회계는 정보이용자의 정보이용목적에 따라 재무회계와 관리회계로 구분됩니다. 관리회계는 기업경영자의 의사결정과정에 유용한 정보를 제공하기 위한 분야로서 원가정보를 어떻게 산출하고 어떻게 제공해줄 것인가에 대해 관심을 두는 학문입니다",
ACC3014,원가관리회계2,,전공핵심,3,,경영학부,"본 강좌의 목적은 기업의 가치사슬 내에서 전략과 관리기능을 공부하는 것이다. 따라서 기본 원가개념 및 원가계산으로부터 얻은 정보를 기초로 의사결정 중심의 회계정보활용을 다룸으로써 원가결정과 경제적 의사결정과의 관련성을 보다 확실히 파악할 수 있도록 한다. 자본예산과 장기투자의사결정, 분권화와 성과평가방법, 내부이전가격제도 등의 문제를 다룬다.",
ACC3015,원가관리회계3,,전공핵심,3,,회계세무학과,"본 과정은 제조원가보고서 및 원가계산방법에 대한 이해를 바탕으로 기존사업의 수익성분석, 관련원가분석 등 단기의사결정과 신규사업에 대한 사업타당성, 내부구조조정을 위한 제품라인의 추가 및 폐기, Cost-Benefit 분석 및 부서의 성과평가를 통한 동기부여 등에 대한 장기적인 의사결정 능력배양을 목표로 한다.",
ACC3018,부가가치세법,,전공핵심,3,,회계세무학과,"본 교과목은 우리나라 부가가치세법에 근거하여 부가가치세의 기본적인 개념과 전반적인 세액구조를 이해하고 이를 실무에 적용하는 방법을 학습하는 과목이다.
해당 교과목을 통해 전문성, 실무활용 측면에서의 전공능력을 함양할 수 있다.",
ACC3019,법인세법2,,전공핵심,4,,회계세무학과,"본 교과목은 우리나라 법인세법에 근거하여 법인세 세무조정의 개념 및 법인세의 계산구조를 이해하는 과목이다. 법인의 재무회계 및 결산 내용을 세무회계의 형식과 목적에 맞게 조정하는 내용을 주로 담고 있으며, 법인세 납부세액을 계산할 수 있는 지식을 보유할 수 있도록 한다.",
ACC4021,관리회계세미나,,전공심화,3,,회계세무학과,본 강좌에서는 원가관리회계의 기초 이론을 바탕으로 새로운 이론과 기존 이론에 보다 심화된 내용을 학습합니다. 원가관리회계와 경영관리가 접목된 교과입니다.,
ACC4056,회계캡스톤디자인1,,전공심화,4,,회계세무학과,"학생이 실제 산업현장에서 부딪히는 문제를 해결할 수 있는 능력을 배양하기 위하여 졸업시 학부과정동안 배운 이론을 바탕으로 하나의 과제를 문제 발굴, 기획, 문제를 해결하는 전 과정을 경험할 수 있도록 하는 종합 문제해결 교육프로그램임. 성과물은 공모전 응모작품 및 글로벌 프론티어 응모작품 등으로 만들어져 평가됨",
ACC4058,상속증여세법,,전공핵심,4,,회계세무학과,"본 교과목은 국세의 한 구성요소인 상속세 및 증여세법의 내용을 다룬다. 우리나라 상속세 및 증여세법 규정에 대한 기본적인 내용을 이해하고, 실무 적용가능성을 높이기 위해 다양한 계산문제 및 실무사례를 다룬다.",
ACT1001,금융보험수학1,3,전공기초,1,1,보험계리학과,"금융보험수학1

본 강좌에서는 옵션가격이론, 이토적분, 확률미분방정식, 블랙-슐즈방정식 등을 공부하기위하여 금융수학의 기초를 다룬다. 함수의 극한, 미분법 및 도함수 응용, 극방정식, 매개방정식, 부정적분 및 정적분, 무한급수, 테일러급수 등을 학습한다.",
ACT1003,계리프로그래밍,3,전공기초,1,1,보험계리학과,"계리프로그래밍2	

본 교과목은 보험계리 실무현장에서 많이 사용되는 C언어 를 통한 프로그래밍 기능을 학습하여 실무에서 사용되는 응용프로그램 설계 능력을 배양 할 수 있도록하고 이론과 실습을 병행함으로써 주어진 문제들을 해결하기위해 논리적인 사고방법을 학습하고 문제를 효과적으로 분석하고 처리할 수 있는 창의적 사고력을 키우는데 목표로 한다.",
ACT1004,통계프로그래밍,3,전공기초,1,1,보험계리학과,,
ACT1005,미적분학1,3,전공기초,1,1,보험계리학과,,
ACT1006,미적분학2,3,전공기초,1,2,보험계리학과,,
ACT1007,보험원론,3,전공핵심,1,2,보험계리학과,,
ACT2001,보험수리학1,,전공핵심,2,,보험계리학과,"보험수리를 공부하는 모든 학생의 필수적인 과정이라고 할 수 있다. 금융보험수학과정과 수리통계학이론을 바탕으로 이자론과 생존분포, 생명표 및 생명보험에 대해서 다룬다. 주요 주제로는 이율과 확정연금, 그리고 생명표 또는 생존분포를 사용하여 생명보험의 보험수리적 현재가치를 파악한다.",
ACT2003,수리통계이론1,,전공핵심,2,,보험계리학과,"이 과목은 확률이론, 이산 그리고 연속 확률변수와 그것들의 확률분포함수, 평균, 적률생성함수 등의 주제를 다룬다.",
ACT2004,수리통계이론2,,전공핵심,2,,보험계리학과,"이 과정은 수학과나 통계학과처럼 통계를 전문적으로 배우는 학생들과 같이 확률적 추론과 이론적인 측면의 방법론의 전문적인 내용들을 제공한다. 분포 수렴과 확률적 수렴, 뿐만 아니라 점추정, 신뢰구간 가설 검정, 비모수통계학 등을 주로 다루며 심도 있게 학습하게 된다.",
ACT2012,보험계리학연습,,전공핵심,2,,보험계리학과,"매년 4월에 있는 보험계리사 1차 시험 중 보험수학부분을 대비하기 위한 과목으로써 금융보험수학1,2,보험수리학1과 수리통계이론1에서 다루었던 기본 내용들을 정리하고 1차 시험 관련 문제를 풀이하고 연습하게 된다.",
ACT2013,논리역량,,전공핵심,2,,보험계리학과,학생들의 직업기초능력을 키우기 위하여 실제적인 문제를 제시하고 학생들 상호간에 공동으로 문제해결방안을 마련하는 일련의 과정을 통해 개별학습과 협동학습의 방법을 익힘으로써 문제해결능력은 물론이고 의사소통능력과 프리젠테이션능력 등을 키우기 위한 수업이다. 조별로 주어진 과제를 토론하고 결과를 발표하는 과정으로 운영된다. 교수의 내용평가와 학생들의 자체평가로 평가가 이루어진다.,
ACT3002,금융공학1,,전공핵심,3,,보험계리학과,"금융공학은 금융자산 및 금융파생상품을 설계하고 가치를 평가하며, 금융기관의 위험을 관리하는 등 제반 금융 문제를 수학적 분석 도구를 이용하여 금융시장을 분석하는 학문이다. 파생상품의 평가와 헷징전략, 리스크관리 등에서 이슈가 되는 여러문제들을 규명하고 해결방안을 논의한다. 본 과정은 블랙-숄즈방정식, 이토적분, 확률미분방정식을 다룬다.",
ACT3004,계리모형론,,전공핵심,3,,보험계리학과,"본 과목은 손해에 관한 통계모형을 만들고, 여러 추정법과 검정법을 이용하여 그 모형들을 평가, 비교, 선택하는 방법에 관한 이론을 배운다.",
ACT3005,금융공학2,,전공심화,4,,보험계리학과,"이항모형, 블랙숄즈 공식을 이용한 파생상품 가치평가를 이해하고 이색옵션와 위험관리에 대해 논의한다. 브라운운동, 이토정리, 이자율 관련 파생상품에 대하여 학습한다.",
ACT3006,보험수리학연구,,전공심화,3,,보험계리학과,이과정은 보험수리학의 주요이슈와 최근에 개발된 이론 및 방법 등을 연구한다. 또한 보험수리학의 기초과목에서 다루었던 내용들을 실무에 적용하는 방법들도 강의한다.,
ACT3007,중급보험수리학,,전공심화,3,,보험계리학과,"영업보험료식 보험료와 책임준비금을 산출하고 보험수리학 1,2 에서 배운 내용을 통합할 수 있는 다중상태모형을 학습한다. 최적 가정이 달라진 경우인 현금흐름분석 모형을 최종적으로 학습하게 된다. 주요 학습내용은 다중상태 모형과 마르코프 체인, 현금흐름분석 모델을 배우게 된다.",
ACT4001,보험계리모델링1,,전공심화,3,,보험계리학과,"본 교과과정에서 우리는 손해보험에 대해 계리적으로 모형화를 할 때에 필요한 필수적 요소 중 하나인 응용통계를 전산을 활용하여 배우게 됩니다. 구체적으로 말하자면, 본 수업은 계리 및 통계분석을 R 통계패키지를 통해 팀 단위로 협력하여 연습하는 것을 목표로 하고 있습니다.
This course is designed to measure several key learning objectives for the purpose of Assurance of Learning (AOL) reporting. Students will be assessed against each of key Learning Goals (LG1: Knowledge on important topics; LG2: Communication skills in written forms) and the results will be used to identify any areas of development and future learning support.",
ACT4002,계리리스크관리,,전공심화,4,,보험계리학과,"본 과정은 작게는 보험회사, 넓게는 금융회사의 리스크 및 리스크 관리에 대해서 배우며, 리스크 관리를 위한 계리 업무를 포괄적, 개념적으로 이해하는 수업이다.",
ACT4003,보험계리모델링2,,전공심화,4,,보험계리학과,"본 과정은 IC-PBL 과정이며, 계리소프트웨어를 팀단위로 연습하는 것을 목표로 한다. 계리실무시 필요한 생명보험의 보험료와 준비금 계산, 현금흐름 분석을 가장 효율적인 계리소프트웨어인 R3S를 통하여 모형화한다.",
ACT4009,중급계리모형론,,전공심화,4,,보험계리학과,"본 과정은 두 부분으로 구성된다. 첫 번째 부분에서는 요율 산정의 일반적 원리를 이해하고, 위험의 분류, 자료 처리, 요율 산정 기법, 기초 가정, 각 기법의 장점과 단점, 재물보험과 책임보험의 여러 사업분야에 대한 적용 등을 이해한다. 두 번째 부분에서는 계리사가 손해보험의 미지급 보험금을 산정하기 위하여 사용하는 기본적인 준비금 산정 방법을 다룬다.",
ACT4012,손해보험수리학,,전공심화,4,,보험계리학과,"본 과정은 두 부분으로 구성된다. 첫 번째 부분에서는 요율 산정의 일반적 원리를 이해하고, 위험의 분류, 자료 처리, 요율 산정 기법, 기초 가정, 각 기법의 장점과 단점, 재물보험과 책임보험의 여러 사업분야에 대한 적용 등을 이해한다. 두 번째 부분에서는 계리사가 손해보험의 미지급 보험금을 산정하기 위하여 사용하는 기본적인 준비금 산정 방법을 다룬다.",
AIX0003,AI+X:딥러닝,3,교양선택,1,1,ERICA 대학,"본 교과목은 딥러닝을 개념을 이해하고, 딥러닝을 실험해 볼 수 있는 개발환경 조성과 활용에 관한 기초를 소개한다. 이를 위하여 다음과 같은 순서로 진행된다. 

1. 딥러닝을 위한 인공지능(AI) 관련 개념 (Agent, Searching, Learning 등)
2. 딥러닝을 위한 환경조성 및 관련 오픈소스 프로젝트 예제
3. 딥러닝 방법론 (Neural Network, Convolutional Networks 등)
4. SKT 텔레콤 인공지능-딥러닝 연구 사례 및 교육자료 병행 (동영상, 발표자료)
5. SKT 인공지능 교육 동영상 시청이 병행되어야 함

강의 계획 세부 내역은 현재 잠정적이며, 일부 항목은 변동이 있을 수가 있습니다. ",
AIX0004,AI+X:R-Py컴퓨팅,3,교양선택,1,1,ERICA 대학,"본 교과목은 데이터 사이언스 및 AI 과목에 기초가 되는 R 프로그래밍 및 Python 프로그램의 기초를 배우는 것을 목적으로 한다. 
이전학기와 달리 실무데이터 분석을 위한 프로세스를 중점적으로 다룬다. 
본 과정은 Smart-F(Flipped Learning : 온라인 1시간, 오프라인 2시간)   유형으로 진행됨
온라인 수업 : 온라인에서 제공되는 e-Learning 콘텐츠를 선수학습 해야 함  (강의실 출석은 하지 않으나 콘텐츠는 반드시 수강하여야 출석에 반영됨)
오프라인 수업 : 교수자의 텔레프레즌스 강의로 진행됨(실습 위주)
2020년 2학기는 대면과 비대면 수업을 병행수행 ",
