학수번호,교과목이름,학점,이수구분,학년,학기,설강학과,학과ID
ARE1055,건축표현기법1,3,전공기초,1,1,건축학전공,200
ARE1063,건축학개론,3,전공핵심,1,1,건축학전공,200
ARE1064,건축기본설계1,3,전공핵심,1,1,건축학전공,200
CUL7124,AI리터러시,2,교양필수,1,1,건축학전공,200
CUL7125,ESG와SDGs이해,2,교양필수,1,1,건축학전공,200
CUL7133,파이썬과인공지능,3,교양필수,1,1,건축학전공,200
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,건축학전공,200
ARE1065,건축기본설계2,4,전공기초,1,2,건축학전공,200
ARE2076,디지털모델링1,3,전공기초,1,2,건축학전공,200
CUL2100,아카데믹글쓰기,2,교양필수,1,2,건축학전공,200
ARE1060,건축공학기초설계,3,전공기초,1,1,건축공학전공,201
CUL7124,AI리터러시,2,교양필수,1,1,건축공학전공,201
CUL7125,ESG와SDGs이해,2,교양필수,1,1,건축공학전공,201
CUL7133,파이썬과인공지능,3,교양필수,1,1,건축공학전공,201
GEN0063,일반물리학1,3,전공기초,1,1,건축공학전공,201
GEN2052,미분적분학1,3,전공기초,1,1,건축공학전공,201
SAI1001,건축공학개론,3,전공기초,1,1,건축공학전공,201
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,건축공학전공,201
ARE1061,건축공학설계1,3,전공핵심,1,2,건축공학전공,201
ARE5028,건축구조시스템,3,전공핵심,1,2,건축공학전공,201
COE2003,정역학,3,전공기초,1,2,건축공학전공,201
COE3051,공업수학1,3,전공기초,1,2,건축공학전공,201
CUL2100,아카데믹글쓰기,2,교양필수,1,2,건축공학전공,201
GEN2000,대학화학,3,전공기초,1,2,건축공학전공,201
MAT4015,확률및통계,3,전공핵심,1,2,건축공학전공,201
COE2023,건설환경공학입문설계,2,전공기초,1,1,건설환경공학과,202
CUL7125,ESG와SDGs이해,2,교양필수,1,1,건설환경공학과,202
CUL7133,파이썬과인공지능,3,교양필수,1,1,건설환경공학과,202
GEN0063,일반물리학1,3,전공기초,1,1,건설환경공학과,202
GEN2052,미분적분학1,3,전공기초,1,1,건설환경공학과,202
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,건설환경공학과,202
COE2003,정역학,3,전공핵심,1,2,건설환경공학과,202
CUL2100,아카데믹글쓰기,2,교양필수,1,2,건설환경공학과,202
CUL7124,AI리터러시,2,교양필수,1,2,건설환경공학과,202
GEN2053,미분적분학2,3,전공기초,1,2,건설환경공학과,202
GEN0064,일반물리학2,3,전공기초,1,2,건설환경공학과,202
GEN0066,일반물리학실험1,1,전공기초,1,1,건설환경공학과,202
GEN0067,일반물리학실험2,1,전공기초,1,2,건설환경공학과,202
GEN0068,일반화학1,3,전공기초,1,1,건설환경공학과,202
GEN0069,일반화학2,3,전공기초,1,2,건설환경공학과,202
GEN0070,일반화학실험1,1,전공기초,1,1,건설환경공학과,202
GEN0071,일반화학실험2,1,전공기초,1,2,건설환경공학과,202
GEN0063,일반물리학1,3,전공기초,1,1,교통물류학과,203
CUL7124,AI리터러시,2,교양필수,1,1,교통물류학과,203
CUL7125,ESG와SDGs이해,2,교양필수,1,1,교통물류학과,203
CUL7133,파이썬과인공지능,3,교양필수,1,1,교통물류학과,203
GEN2052,미분적분학1,3,전공기초,1,1,교통물류학과,203
TRE1020,교통물류개론,3,전공핵심,1,1,교통물류학과,203
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,교통물류학과,203
COE2003,정역학,3,전공기초,1,2,교통물류학과,203
CUL2100,아카데믹글쓰기,2,교양필수,1,2,교통물류학과,203
GEN2053,미분적분학2,3,전공기초,1,2,교통물류학과,203
TRE1022,스마트모빌리티입문설계,3,전공기초,1,2,교통물류학과,203
TRE2010,물류의이해,3,전공핵심,1,2,교통물류학과,203
URE2002,도시계획,3,전공핵심,1,2,교통물류학과,203
GEN0064,일반물리학2,3,전공기초,1,2,교통물류학과,203
GEN0066,일반물리학실험1,1,전공기초,1,1,교통물류학과,203
GEN0067,일반물리학실험2,1,전공기초,1,2,교통물류학과,203
GEN0063,일반물리학1,3,전공기초,1,1,전자공학부,204
EEN1003,전자공학의이해,1,전공기초,1,1,전자공학부,204
CUL7124,AI리터러시,2,교양필수,1,1,전자공학부,204
CUL7125,ESG와SDGs이해,2,교양필수,1,1,전자공학부,204
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,전자공학부,204
GEN2052,미분적분학1,3,전공기초,1,1,전자공학부,204
CUL7133,파이썬과인공지능,3,교양필수,1,1,전자공학부,204
CUL2100,아카데믹글쓰기,2,교양필수,1,2,전자공학부,204
GEN2053,미분적분학2,3,전공기초,1,2,전자공학부,204
ELE3037,확률과통계,3,전공기초,1,2,전자공학부,204
GEN0064,일반물리학2,3,전공기초,1,2,전자공학부,204
GEN0066,일반물리학실험1,1,전공기초,1,1,전자공학부,204
GEN0067,일반물리학실험2,1,전공기초,1,2,전자공학부,204
GEN0063,일반물리학1,3,전공기초,1,1,기계공학과,205
MEE1010,기계공학개론,2,전공기초,1,1,기계공학과,205
GEN0064,일반물리학2,3,전공기초,1,2,기계공학과,205
GEN2052,미분적분학1,3,전공기초,1,1,기계공학과,205
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,기계공학과,205
CUL7125,ESG와SDGs이해,2,교양필수,1,1,기계공학과,205
CUL7133,파이썬과인공지능,3,교양필수,1,1,기계공학과,205
GEN2053,미분적분학2,3,전공기초,1,2,기계공학과,205
COE3051,공업수학1,3,전공기초,1,2,기계공학과,205
MEE1002,CADD,3,전공기초,1,2,기계공학과,205
COE2003,정역학,3,전공기초,1,2,기계공학과,205
CUL2100,아카데믹글쓰기,2,교양필수,1,2,기계공학과,205
CLU7124,AI리터러시,2,교양필수,1,1,기계공학과,205
GEN0066,일반물리학실험1,1,전공기초,1,1,기계공학과,205
GEN0068,일반화학1,3,전공기초,1,1,기계공학과,205
GEN0063,일반물리학1,3,전공기초,1,1,배터리소재화학공학과,206
GEN0064,일반물리학2,3,전공기초,1,2,배터리소재화학공학과,206
CUL7125,ESG와SDGs이해,2,교양필수,1,1,배터리소재화학공학과,206
CUL7129,인공지능기초탐색,2,교양필수,1,1,배터리소재화학공학과,206
CUL7133,파이썬과인공지능,3,교양필수,1,1,배터리소재화학공학과,206
GEN2052,미분적분학1,3,전공기초,1,1,배터리소재화학공학과,206
MCE1001,배터리소재화공입문설계,2,전공기초,1,1,배터리소재화학공학과,206
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,배터리소재화학공학과,206
CUL7127,수학적사고와인공지능,2,교양필수,1,2,배터리소재화학공학과,206
GEN2053,미분적분학2,3,전공기초,1,2,배터리소재화학공학과,206
MCE2004,배터리/신소재/화학공학입문,3,전공핵심,1,2,배터리소재화학공학과,206
