dept_code,admission_year,requirement_group,target_grade_level,required_count,requirement_text,is_alert_required,logic_operator,course_code,recommended_course
ARCH_ARC,2026.0,1.0,A,1.0,[더미] 아래 3개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,ARE1055,
ARCH_ARC,2026.0,1.0,A,1.0,[더미] 아래 3개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,ARE2076,
ARCH_ARC,2026.0,1.0,A,1.0,[더미] 아래 3개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,ARE1065,
ARCH_ARC,2026.0,2.0,B,2.0,[더미] 아래 3개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,ARE1055,
ARCH_ARC,2026.0,2.0,B,2.0,[더미] 아래 3개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,ARE2076,
ARCH_ARC,2026.0,2.0,B,2.0,[더미] 아래 3개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,ARE1065,
ARCH_ENG,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
ARCH_ENG,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
ARCH_ENG,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,COE3051,
ARCH_ENG,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,COE2003,
ARCH_ENG,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,ARE1060,
ARCH_ENG,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
ARCH_ENG,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
ARCH_ENG,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,COE3051,
ARCH_ENG,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,COE2003,
ARCH_ENG,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,ARE1060,
CIVIL,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
CIVIL,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
CIVIL,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
CIVIL,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
CIVIL,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0066,
CIVIL,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
CIVIL,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
CIVIL,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
CIVIL,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
CIVIL,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0066,
TRANS,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
TRANS,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
TRANS,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
TRANS,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
TRANS,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0066,
TRANS,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
TRANS,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
