학번,학수번호,과목명,학점,이수구분,성적,평점,재수강여부,년도,학기
2026334053,ARE1055,건축표현기법1,3,전공기초,B+,3.5,false,2026,1
2026334053,ARE1063,건축학개론,3,전공핵심,A,4.0,false,2026,1
2026334053,ARE1064,건축기본설계1,3,전공핵심,C,2.0,false,2026,1
2026334053,CUL7124,AI리터러시,2,교양필수,C+,2.5,false,2026,1
2026334053,CUL7125,ESG와SDGs이해,2,교양필수,A,4.0,false,2026,1
2026334053,CUL7133,파이썬과인공지능,3,교양필수,B+,3.5,false,2026,1
2026334053,VCC1001,IC-PBL과비전설계,1,교양필수,A,4.0,false,2026,1
2026334053,ARE1065,건축기본설계2,4,전공기초,,,false,2026,2
2026334053,ARE2076,디지털모델링1,3,전공기초,,,false,2026,2
2026334053,CUL2100,아카데믹글쓰기,2,교양필수,,,false,2026,2
2026460663,GEN0063,일반물리학1,3,전공기초,B+,3.5,false,2026,1
2026460663,CSE1017,프로그래밍기초,3,전공기초,B+,3.5,false,2026,1
2026460663,CSE1007,논리학(컴퓨터전공),3,전공기초,C,2.0,false,2026,1
2026460663,GEN2052,미분적분학1,3,전공기초,A,4.0,false,2026,1
2026460663,CUL7125,ESG와SDGs이해,2,교양필수,B+,3.5,false,2026,1
2026460663,VCC1001,IC-PBL과비전설계,1,교양필수,B,3.0,false,2026,1
2026460663,CUL7133,파이썬과인공지능,3,교양필수,C+,2.5,false,2026,1
2026460663,CLU7124,AI리터러시,2,교양필수,B,3.0,false,2026,1
2026460663,MMT4017,퓨쳐미디어와디지털아트,3,전공핵심,,,false,2026,2
2026460663,ICT1001,기초확률통계,3,전공기초,,,false,2026,2
2026460663,CSE2010,자료구조론,3,전공기초,,,false,2026,2
2026460663,MCD1001,디자인테크놀로지융합의이해,3,전공핵심,,,false,2026,2
2026460663,MMT2012,디지털미디어의디자인활용,3,전공핵심,,,false,2026,2
2026460663,CS31020,창의융합설계,2,전공핵심,,,false,2026,2
2026460663,CUL2100,아카데믹글쓰기,2,교양필수,,,false,2026,2
2026440035,DES1002,2D디지털디자인,3,전공기초,B+,3.5,false,2026,1
2026440035,DES1004,드로잉파운데이션,3,전공기초,A,4.0,false,2026,1
2026440035,VCC1001,IC-PBL과비전설계,1,교양필수,A,4.0,false,2026,1
2026440035,CUL2100,아카데믹글쓰기,2,교양필수,B,3.0,false,2026,1
2026440035,DES1003,3D스페이셜디자인,3,전공기초,,,false,2026,2
2026440035,CUL7125,ESG와SDGs이해,2,교양필수,,,false,2026,2
2026245051,DCC2019,프리젠테이션기술과피칭전략,3,전공핵심,B,3.0,false,2026,1
2026245051,DCC1011,콘텐츠스토리텔링기초,3,전공기초,B,3.0,false,2026,1
2026245051,DCC2001,창의적발상법,3,전공기초,A,4.0,false,2026,1
2026245051,VCC1001,IC-PBL과비전설계,1,교양필수,B,3.0,false,2026,1
2026245051,DCC1010,문화콘텐츠의기초,3,전공기초,A+,4.5,false,2026,1
2026245051,CUL2100,아카데믹글쓰기,2,교양필수,B+,3.5,false,2026,1
2026245051,CLU7124,AI리터러시,2,교양필수,B+,3.5,false,2026,1
2026245051,CUL7135,파이썬과데이터분석,2,교양필수,,,false,2026,2
2026245051,DCC1007,문화콘텐츠인문학,3,전공기초,,,false,2026,2
2026245051,DCC2017,문화콘텐츠마케팅,3,전공기초,,,false,2026,2
2026245051,DCC2005,문화콘텐츠기획론,3,전공핵심,,,false,2026,2
2026245051,DCC2004,멀티미디어저작실습,3,전공핵심,,,false,2026,2
2026245051,CUL7125,ESG와SDGs이해,2,교양필수,,,false,2026,2
2026665579,GEN0063,일반물리학1,3,전공기초,B,3.0,false,2026,1
2026665579,EEN1003,전자공학의이해,1,전공기초,D+,1.5,false,2026,1
2026665579,CUL7124,AI리터러시,2,교양필수,A,4.0,false,2026,1
2026665579,CUL7125,ESG와SDGs이해,2,교양필수,B,3.0,false,2026,1
2026665579,VCC1001,IC-PBL과비전설계,1,교양필수,B,3.0,false,2026,1
2026665579,GEN2052,미분적분학1,3,전공기초,D,1.0,false,2026,1
2026665579,CUL7133,파이썬과인공지능,3,교양필수,D+,1.5,false,2026,1
2026665579,GEN0066,일반물리학실험1,1,전공기초,C+,2.5,false,2026,1
2026665579,CUL2100,아카데믹글쓰기,2,교양필수,,,false,2026,2
2026665579,GEN2053,미분적분학2,3,전공기초,,,false,2026,2
2026665579,ELE3037,확률과통계,3,전공기초,,,false,2026,2
2026665579,GEN0064,일반물리학2,3,전공기초,,,false,2026,2
2026665579,GEN0067,일반물리학실험2,1,전공기초,,,false,2026,2
2026454508,VCC1001,IC-PBL과비전설계,1,교양필수,A,4.0,false,2026,1
2026454508,GEN0059,경제원론1,3,전공기초,B,3.0,false,2026,1
2026454508,ECO1002,경제수학,3,전공기초,,,false,2026,2
2026454508,GEN0060,경제원론2,3,전공기초,,,false,2026,2
2026454508,ECO1022,기업가정신과관계역량,1,전공핵심,,,false,2026,2
2026454508,CUL7135,파이썬과데이터분석,3,교양필수,,,false,2026,2
2026299659,GEN0063,일반물리학1,3,전공기초,A,4.0,false,2026,1
2026299659,GEN0066,일반물리학실험1,1,전공기초,A,4.0,false,2026,1
2026299659,CUL7125,ESG와SDGs이해,2,교양필수,B+,3.5,false,2026,1
2026299659,VCC1001,IC-PBL과비전설계,1,교양필수,C,2.0,false,2026,1
2026299659,CUL7131,창의적프로그래밍기초와실습,3,교양필수,A+,4.5,false,2026,1
2026299659,EMS2021,물리해양학,3,전공기초,C+,2.5,false,2026,1
2026299659,GEN0064,일반물리학2,3,전공기초,,,false,2026,2
2026299659,GEN0067,일반물리학실험2,1,전공기초,,,false,2026,2
2026299659,CSE4018,인간과컴퓨터상호작용,3,전공핵심,,,false,2026,2
2026299659,CUL7128,오픈소스개발과활용,3,교양필수,,,false,2026,2
2026299659,PHY1008,드론의이해와응용,3,전공핵심,,,false,2026,2
2026299659,GEN2053,미분적분학2,3,전공기초,,,false,2026,2
2026299659,CUL2100,아카데믹글쓰기,2,교양필수,,,false,2026,2
2026324130,GEN0063,일반물리학1,3,전공기초,A+,4.5,false,2026,1
2026324130,MEE1010,기계공학개론,2,전공기초,B,3.0,false,2026,1
2026324130,GEN2052,미분적분학1,3,전공기초,B,3.0,false,2026,1
2026324130,VCC1001,IC-PBL과비전설계,1,교양필수,C,2.0,false,2026,1
2026324130,CUL7125,ESG와SDGs이해,2,교양필수,A,4.0,false,2026,1
2026324130,CUL7133,파이썬과인공지능,3,교양필수,D,1.0,false,2026,1
2026324130,CLU7124,AI리터러시,2,교양필수,A+,4.5,false,2026,1
2026324130,GEN0066,일반물리학실험1,1,전공기초,A,4.0,false,2026,1
2026324130,GEN0068,일반화학1,3,전공기초,B,3.0,false,2026,1
2026324130,GEN0064,일반물리학2,3,전공기초,,,false,2026,2
2026324130,GEN2053,미분적분학2,3,전공기초,,,false,2026,2
2026324130,COE3051,공업수학1,3,전공기초,,,false,2026,2
2026324130,MEE1002,CADD,3,전공기초,,,false,2026,2
2026324130,COE2003,정역학,3,전공기초,,,false,2026,2
2026324130,CUL2100,아카데믹글쓰기,2,교양필수,,,false,2026,2
2026648177,GEN1030,컴퓨터개론,3,전공핵심,B,3.0,false,2026,1
2026648177,GEN2052,미분적분학1,3,전공기초,B,3.0,false,2026,1
2026648177,CSE1017,프로그래밍기초,3,전공기초,A,4.0,false,2026,1
2026648177,CUL7125,ESG와SDGs이해,2,교양필수,B+,3.5,false,2026,1
2026648177,VCC1001,IC-PBL과비전설계,1,교양필수,A+,4.5,false,2026,1
2026648177,CUL7133,파이썬과인공지능,3,교양필수,A,4.0,false,2026,1
2026648177,CLU7124,AI리터러시,2,교양필수,A,4.0,false,2026,1
2026648177,ITE1009,C프로그래밍,3,전공핵심,,,false,2026,2
2026648177,CSE1019,오픈소스SW기초,2,전공핵심,,,false,2026,2
2026648177,MAT2020,이산수학,3,전공기초,,,false,2026,2
2026648177,COM2018,객체지향프로그래밍,3,전공핵심,,,false,2026,2
2026648177,CSE1021,소프트웨어엔지니어링커뮤니케이션,2,전공기초,,,false,2026,2
2026648177,CUL2100,아카데믹글쓰기,2,교양필수,,,false,2026,2
2026212235,GEN0063,일반물리학1,3,전공기초,C+,2.5,false,2026,1
2026212235,EEN1003,전자공학의이해,1,전공기초,B,3.0,false,2026,1
2026212235,CUL7124,AI리터러시,2,교양필수,A,4.0,false,2026,1
2026212235,CUL7125,ESG와SDGs이해,2,교양필수,C+,2.5,false,2026,1
2026212235,VCC1001,IC-PBL과비전설계,1,교양필수,B,3.0,false,2026,1
2026212235,GEN2052,미분적분학1,3,전공기초,B+,3.5,false,2026,1
2026212235,CUL7133,파이썬과인공지능,3,교양필수,A+,4.5,false,2026,1
2026212235,GEN0066,일반물리학실험1,1,전공기초,A+,4.5,false,2026,1
2026212235,CUL2100,아카데믹글쓰기,2,교양필수,,,false,2026,2
2026212235,GEN2053,미분적분학2,3,전공기초,,,false,2026,2
2026212235,ELE3037,확률과통계,3,전공기초,,,false,2026,2
2026212235,GEN0064,일반물리학2,3,전공기초,,,false,2026,2
2026212235,GEN0067,일반물리학실험2,1,전공기초,,,false,2026,2
2026934794,ARE1060,건축공학기초설계,3,전공기초,C+,2.5,false,2026,1
2026934794,CUL7124,AI리터러시,2,교양필수,B+,3.5,false,2026,1
2026934794,CUL7125,ESG와SDGs이해,2,교양필수,B,3.0,false,2026,1
2026934794,CUL7133,파이썬과인공지능,3,교양필수,C+,2.5,false,2026,1
2026934794,GEN0063,일반물리학1,3,전공기초,A,4.0,false,2026,1
2026934794,GEN2052,미분적분학1,3,전공기초,A,4.0,false,2026,1
2026934794,SAI1001,건축공학개론,3,전공기초,C+,2.5,false,2026,1
2026934794,ARE1061,건축공학설계1,3,전공핵심,,,false,2026,2
2026934794,ARE5028,건축구조시스템,3,전공핵심,,,false,2026,2
2026934794,COE3051,공업수학1,3,전공기초,,,false,2026,2
2026934794,GEN2000,대학화학,3,전공기초,,,false,2026,2
2026934794,MAT4015,확률및통계,3,전공핵심,,,false,2026,2
2026338651,DCC2019,프리젠테이션기술과피칭전략,3,전공핵심,B,3.0,false,2026,1
2026338651,DCC1011,콘텐츠스토리텔링기초,3,전공기초,F,0.0,false,2026,1
2026338651,DCC2001,창의적발상법,3,전공기초,A+,4.5,false,2026,1
2026338651,VCC1001,IC-PBL과비전설계,1,교양필수,B,3.0,false,2026,1
2026338651,DCC1010,문화콘텐츠의기초,3,전공기초,B+,3.5,false,2026,1
2026338651,CUL2100,아카데믹글쓰기,2,교양필수,C+,2.5,false,2026,1
2026338651,CLU7124,AI리터러시,2,교양필수,B+,3.5,false,2026,1
2026338651,CUL7135,파이썬과데이터분석,2,교양필수,,,false,2026,2
2026338651,DCC1007,문화콘텐츠인문학,3,전공기초,,,false,2026,2
2026338651,DCC2017,문화콘텐츠마케팅,3,전공기초,,,false,2026,2
2026338651,DCC2005,문화콘텐츠기획론,3,전공핵심,,,false,2026,2
2026338651,DCC2004,멀티미디어저작실습,3,전공핵심,,,false,2026,2
2026338651,CUL7125,ESG와SDGs이해,2,교양필수,,,false,2026,2
2026945687,GEN0074,일반생물학1,3,전공기초,B+,3.5,false,2026,1
2026945687,GEN0076,일반생물학실험1,1,전공기초,A,4.0,false,2026,1
2026945687,GEN0068,일반화학1,3,전공기초,A,4.0,false,2026,1
2026945687,CUL7125,ESG와SDGs이해,2,교양필수,B+,3.5,false,2026,1
2026945687,VCC1001,IC-PBL과비전설계,1,교양필수,D+,1.5,false,2026,1
2026945687,CUL7131,창의적프로그래밍기초와실습,3,교양필수,B,3.0,false,2026,1
2026945687,GEN3032,기초물리학,2,전공기초,C,2.0,false,2026,1
2026945687,GEN0070,일반화학실험1,1,전공기초,B,3.0,false,2026,1
2026945687,GEN0075,일반생물학2,3,전공기초,,,false,2026,2
2026945687,GEN0077,일반생물학실험2,1,전공기초,,,false,2026,2
2026945687,GEN0069,일반화학2,3,전공기초,,,false,2026,2
2026945687,CUL7128,오픈소스개발과활용,3,교양필수,,,false,2026,2
2026945687,GEN2053,미분적분학2,3,전공기초,,,false,2026,2
2026945687,GEN0071,일반화학실험2,1,전공기초,,,false,2026,2
2026945687,CUL2100,아카데믹글쓰기,2,교양필수,,,false,2026,2
2026587575,DES1001,스튜디오프랙티스,3,전공기초,A+,4.5,false,2026,1
2026587575,DES1002,2D디지털디자인,3,전공기초,F,0.0,false,2026,1
2026587575,DES1004,드로잉파운데이션,3,전공기초,B,3.0,false,2026,1
2026587575,VCC1001,IC-PBL과비전설계,1,교양필수,C+,2.5,false,2026,1
2026587575,CUL2100,아카데믹글쓰기,2,교양필수,B+,3.5,false,2026,1
2026587575,CLU7124,AI리터러시,2,교양필수,C,2.0,false,2026,1
2026587575,CUL7135,파이썬과데이터분석,3,교양필수,,,false,2026,2
2026587575,DES1005,크리에이티브프로세스,3,전공기초,,,false,2026,2
2026587575,DES1003,3D스페이셜디자인,3,전공기초,,,false,2026,2
2026587575,CUL7125,ESG와SDGs이해,2,교양필수,,,false,2026,2
2026105814,CLU7124,AI리터러시,2,교양필수,C+,2.5,false,2026,1
2026105814,CUL2100,아카데믹글쓰기,2,교양필수,B,3.0,false,2026,1
2026105814,APR1004,커뮤니케이션론,3,전공기초,F,0.0,false,2026,1
2026105814,VCC1001,IC-PBL과비전설계,1,교양필수,B,3.0,false,2026,1
2026105814,CUL7135,파이썬과데이터분석,3,교양필수,,,false,2026,2
2026105814,APR1038,크리에이티브디자인,3,전공기초,,,false,2026,2
2026105814,APR1037,전략적커뮤니케이션,3,전공기초,,,false,2026,2
2026105814,CUL7125,ESG와SDGs이해,2,교양필수,,,false,2026,2
2026105814,APR2014,홍보원론,3,전공기초,,,false,2026,2
2026105814,GEN3065,컴퓨터그래픽응용,2,전공핵심,,,false,2026,2
2026105814,APR2013,광고원론,3,전공기초,,,false,2026,2
2026980660,GCT1003,인공지능과지속가능발전,2,전공기초,B,3.0,false,2026,1
2026980660,GCT1004,영상문화의이해,2,전공기초,C+,2.5,false,2026,1
2026980660,GCT1002,글로벌트랜드탐색,3,전공기초,A+,4.5,false,2026,1
2026980660,GCT1001,K-컬쳐와글로벌한국학문화연구기초,2,전공기초,B+,3.5,false,2026,1
2026980660,VCC1001,IC-PBL과비전설계,1,교양필수,B,3.0,false,2026,1
2026980660,CUL2100,아카데믹글쓰기,2,교양필수,B+,3.5,false,2026,1
2026980660,CLU7124,AI리터러시,2,교양필수,A,4.0,false,2026,1
2026980660,CUL7135,파이썬과데이터분석,3,교양필수,,,false,2026,2
2026980660,GCT1006,언어/문화모듈탐색,2,전공기초,,,false,2026,2
2026980660,GCT1007,글로벌통상의이해,2,전공기초,,,false,2026,2
2026980660,GCT1005,글로벌관광엔터테인먼트의이해,2,전공기초,,,false,2026,2
2026980660,CUL7125,ESG와SDGs이해,2,교양필수,,,false,2026,2
2026508930,VCC1001,IC-PBL과비전설계,1,교양필수,C+,2.5,false,2026,1
2026508930,BUS1005,경영통계분석1,3,전공기초,C,2.0,false,2026,1
2026508930,GEN0044,경영학원론,3,전공기초,D+,1.5,false,2026,1
2026508930,GEN0059,경제원론1,3,전공기초,F,0.0,false,2026,1
2026508930,CUL7124,AI리터러시,2,교양필수,B,3.0,false,2026,1
2026508930,CUL2100,아카데믹글쓰기,2,교양필수,C,2.0,false,2026,1
2026508930,CUL7125,ESG와SDGs이해,2,교양필수,,,false,2026,2
2026508930,CUL7135,파이썬과데이터분석,3,교양필수,,,false,2026,2
2026508930,BUS1010,회계정보의이해,3,전공기초,,,false,2026,2
2026372793,CUL2100,아카데믹글쓰기,2,교양필수,C+,2.5,false,2026,1
2026372793,CLU7124,AI리터러시,2,교양필수,B,3.0,false,2026,1
2026372793,VCC1001,IC-PBL과비전설계,1,교양필수,C+,2.5,false,2026,1
2026372793,GEN0059,경제원론1,3,전공핵심,D,1.0,false,2026,1
2026372793,ACT1005,미적분학1,3,전공기초,A,4.0,false,2026,1
2026372793,ACT1004,통계프로그래밍,3,전공기초,A+,4.5,false,2026,1
2026372793,CUL7125,ESG와SDGs이해,2,교양필수,,,false,2026,2
